Monthly_Income,Loan_Amount,Age,Primary_Income_Source,Essential_Expenses,Monthly_Installment,Remittance_Status,Land_Area,CIB_Score,Risk,Stress_Tested_Income,Loan_Coverage_Ratio
31058,279749,65,Business,7334,4739,0,3.93,669,1,31058.0,5.006119434479848
33546,155194,42,Business,11532,1362,0,0.55,686,1,33546.0,16.162995594713657
40055,311841,28,Salary,14549,8520,0,0.15,510,1,40055.0,2.993661971830986
67995,554893,26,Remittance,7827,6529,0,2.17,566,1,67995.0,9.215500076581407
41890,143698,30,Salary,16557,8267,0,0.78,766,1,41890.0,3.064352243861135
52437,489122,29,Agriculture,18241,5462,0,1.53,780,1,36705.899999999994,3.380611497619918
85985,120056,36,Remittance,17673,3180,0,0.55,330,1,85985.0,21.481761006289307
52875,525871,30,Salary,19173,8654,0,1.15,761,1,52875.0,3.8943840998382253
74750,584236,51,Remittance,26123,11297,0,4.4,792,1,74750.0,4.3044171018854565
41328,57284,26,Salary,12495,2368,0,0.6,819,1,41328.0,12.176097972972974
55891,376380,53,Business,16020,7631,0,2.06,448,1,55891.0,5.2248722316865415
41000,33813,37,Salary,14425,679,0,1.43,576,0,41000.0,39.13843888070692
53219,416001,57,Salary,23934,6083,0,2.47,323,1,53219.0,4.814236396514877
76806,621562,47,Salary,22586,5312,0,2.38,360,1,76806.0,10.207078313253012
25454,158398,69,Salary,9653,2524,0,1.3,609,1,25454.0,6.260301109350237
68688,593476,43,Salary,24410,5358,0,3.92,413,1,68688.0,8.263904441955953
64755,92593,34,Salary,25685,1497,1,0.06,423,1,64755.0,26.098864395457582
48117,150186,51,Business,20843,6360,1,0.12,463,1,48117.0,4.288364779874214
31079,137826,55,Salary,4707,3740,0,0.15,553,1,31079.0,7.051336898395722
61443,55505,43,Salary,8677,991,0,1.3,384,0,61443.0,53.245206861755804
49410,235095,49,Other,14672,4987,0,0.2,742,1,49410.0,6.965710848205334
64654,195225,44,Remittance,15920,1850,0,1.1,668,1,64654.0,26.342702702702702
60437,255708,35,Salary,17597,2998,0,1.38,736,1,60437.0,14.2895263509006
92036,417703,35,Salary,34539,5610,1,1.26,810,1,92036.0,10.249019607843136
55213,488879,69,Business,23451,7515,1,0.74,630,1,55213.0,4.226480372588157
39530,121287,56,Agriculture,9268,2209,0,1.15,499,1,27671.0,8.330918967858759
63586,571674,23,Salary,21978,7318,0,1.69,838,1,63586.0,5.685706477179557
64400,292809,72,Agriculture,9841,11502,1,2.99,611,1,45080.0,3.0637280472961224
87184,315098,58,Salary,24218,10662,0,0.21,555,1,87184.0,5.905646220221347
76702,404516,20,Salary,6755,9042,0,2.6,529,1,76702.0,7.735788542357885
67137,300006,59,Agriculture,17884,9840,0,1.19,321,1,46995.899999999994,2.958526422764227
89266,262892,51,Business,25153,3088,0,0.15,826,1,89266.0,20.761981865284973
36225,191103,70,Agriculture,12755,13022,1,0.8,751,1,25357.5,0.9677852864383352
47205,91678,45,Salary,15120,3129,1,0.9,685,1,47205.0,10.254074784276126
41468,159375,47,Salary,8816,1456,0,1.08,421,1,41468.0,22.425824175824175
52204,306699,35,Salary,4287,2561,0,1.12,811,1,52204.0,18.710269426005468
32466,143739,36,Salary,3985,2223,0,3.87,397,1,32466.0,12.811965811965813
72703,605410,53,Salary,31992,9243,0,1.03,433,1,72703.0,4.404522341231202
55556,163271,65,Business,23404,1709,1,1.23,338,1,55556.0,18.813341135166763
30584,297057,68,Business,6126,18673,0,0.23,458,1,30584.0,1.3098056016708617
39688,315712,61,Business,6976,5432,0,0.97,480,1,39688.0,6.0220913107511045
66270,642298,52,Salary,16002,28194,0,3.0,737,1,66270.0,1.7829325388380506
76763,649591,46,Salary,25737,11747,0,1.18,479,1,76763.0,4.343747339746318
99935,184878,37,Business,21189,1563,1,0.59,826,1,99935.0,50.38131797824696
118277,650686,61,Salary,12407,6967,0,0.28,466,1,118277.0,15.195923640017224
68288,144415,36,Remittance,15640,1220,0,0.52,589,1,68288.0,43.15409836065574
40209,332655,33,Salary,7094,3593,1,0.56,626,1,40209.0,9.216532145839132
17359,105014,67,Business,3476,1352,0,0.19,756,1,17359.0,10.268491124260356
65354,196243,51,Remittance,9169,2100,0,5.76,714,1,65354.0,26.754761904761907
43741,408156,38,Business,14162,4907,0,0.63,778,1,43741.0,6.0279192989606685
51693,82412,67,Business,14208,1327,0,0.34,816,1,51693.0,28.247927656367747
47758,279704,72,Business,8607,6416,0,0.6,364,1,47758.0,6.102088528678304
57184,420296,36,Salary,16293,6165,0,0.31,351,1,57184.0,6.632765612327656
81320,86123,47,Business,21330,2158,0,2.42,547,1,81320.0,27.798887859128822
63141,390188,45,Remittance,23647,6044,0,0.72,382,1,63141.0,6.534414295168762
56827,468883,57,Other,24647,16877,0,0.01,571,1,56827.0,1.9067369793209694
39287,44846,72,Salary,5042,614,0,0.84,625,1,39287.0,55.773615635179155
26506,142239,49,Salary,10789,3695,0,1.68,452,1,26506.0,4.253585926928282
50274,148625,63,Agriculture,17132,3400,0,0.0,354,1,35191.799999999996,5.31170588235294
58924,400553,51,Business,19813,6079,0,0.69,831,1,58924.0,6.433788452048034
95359,155191,68,Salary,20835,5251,0,1.61,504,1,95359.0,14.192344315368501
62605,588611,41,Salary,12975,5077,0,0.2,762,1,62605.0,9.775457947606855
79655,716889,39,Salary,6539,11895,0,0.43,644,1,79655.0,6.146784363177805
50014,113370,42,Salary,22177,2265,0,1.37,664,1,50014.0,12.290066225165562
36301,129632,74,Salary,11050,8555,0,5.62,730,1,36301.0,2.9516072472238455
40698,247547,52,Salary,9314,2402,0,0.54,446,1,40698.0,13.065778517901748
45495,333096,26,Salary,12793,4185,0,3.37,419,1,45495.0,7.814097968936679
102569,482611,20,Remittance,9744,8471,0,3.05,849,1,102569.0,10.957974265139889
43572,86480,47,Salary,6285,2245,1,0.84,668,1,43572.0,16.60890868596882
76770,114344,63,Salary,23848,1236,0,0.85,461,1,76770.0,42.81715210355987
41941,419317,45,Salary,11336,3675,0,0.15,655,1,41941.0,8.327891156462584
78631,379461,49,Salary,29189,7142,0,0.26,516,1,78631.0,6.922710725287034
67699,595010,63,Other,21917,22397,0,0.1,773,1,67699.0,2.0441130508550254
56867,289031,47,Remittance,17204,12148,0,6.09,580,1,56867.0,3.264981890023049
59185,548195,69,Salary,22588,43209,0,2.02,472,1,59185.0,0.846976324376866
46904,62557,54,Salary,4937,677,0,0.64,680,1,46904.0,61.989660265878875
68921,109115,59,Salary,23132,925,1,0.64,713,1,68921.0,49.501621621621624
50900,474974,62,Salary,17549,3984,0,1.57,505,1,50900.0,8.371234939759036
35488,337178,53,Salary,6452,3487,0,4.74,714,1,35488.0,8.32692859191282
34441,120193,20,Salary,5248,4072,0,1.24,429,1,34441.0,7.169204322200393
63452,245817,42,Salary,10097,2090,0,0.53,431,1,63452.0,25.528708133971293
91582,439436,26,Business,14041,9270,0,1.86,755,1,91582.0,8.36472491909385
63200,281463,47,Salary,17304,5860,0,0.58,642,1,63200.0,7.832081911262799
57627,132855,26,Salary,7502,1541,0,4.62,319,1,57627.0,32.52757949383517
65717,593725,47,Salary,21288,34325,0,0.72,672,1,65717.0,1.2943627093954844
86120,250301,37,Salary,10238,2474,0,0.21,468,1,86120.0,30.67178658043654
64388,463599,19,Salary,5792,3873,0,1.04,451,1,64388.0,15.129357087529048
51781,58926,25,Salary,10260,616,0,1.63,533,0,51781.0,67.40422077922078
82126,71297,46,Salary,12400,739,0,1.04,548,1,82126.0,94.35182679296346
68575,460168,22,Salary,30571,8497,0,0.77,791,1,68575.0,4.472637401435801
90715,337519,66,Agriculture,17427,17653,0,0.85,540,1,63500.49999999999,2.6099529824958925
63665,428266,61,Remittance,10324,4388,1,1.01,463,1,63665.0,12.156107566089334
35511,49474,58,Salary,5426,647,0,1.91,726,1,35511.0,46.49922720247295
32637,310821,27,Salary,7125,2820,1,0.05,599,1,32637.0,9.046808510638298
93019,707957,63,Agriculture,28293,28868,0,1.93,300,1,65113.299999999996,1.2754711098794511
94473,833681,54,Business,34891,18545,0,0.27,648,1,94473.0,3.2128336478835267
56410,101339,40,Salary,12122,1989,0,0.11,576,1,56410.0,22.266465560583207
52336,185349,18,Salary,16308,2160,0,0.12,616,1,52336.0,16.67962962962963
89229,356851,48,Salary,23053,3676,0,1.21,401,1,89229.0,18.002176278563656
37859,212129,63,Business,14886,1832,0,3.79,563,1,37859.0,12.539847161572052
42105,139799,19,Salary,12233,3184,0,0.14,656,1,42105.0,9.381909547738694
72867,78404,20,Salary,13645,1200,0,1.35,672,0,72867.0,49.35166666666667
52108,208658,39,Salary,17734,13793,0,4.29,674,1,52108.0,2.4921336910026826
59898,174795,47,Salary,22966,4445,0,2.6,849,1,59898.0,8.308661417322835
56731,236356,45,Salary,14308,4511,1,0.53,576,1,56731.0,9.4043449346043
66751,158274,42,Business,29722,2079,0,2.41,536,1,66751.0,17.81096681096681
88150,263394,32,Business,35724,4191,0,0.34,598,1,88150.0,12.509186351706036
61812,399061,21,Salary,9449,7769,0,4.37,481,1,61812.0,6.7399922769983265
72879,305178,19,Salary,27045,3844,0,0.02,473,1,72879.0,11.923517169614984
18997,71830,23,Agriculture,5744,708,0,1.0,680,1,13297.9,10.669350282485874
59026,328899,57,Salary,16402,8632,0,0.35,472,1,59026.0,4.93790546802595
43135,337862,62,Salary,11653,6891,0,1.24,712,1,43135.0,4.568567696996082
35624,146032,42,Salary,14099,1657,0,0.03,710,1,35624.0,12.990343995171997
42437,258078,22,Agriculture,12987,2688,0,0.6,825,1,29705.899999999998,6.2198288690476184
53318,516061,41,Agriculture,14873,5102,0,1.8,372,1,37322.6,4.4001568012544094
78318,427523,74,Remittance,7681,12353,0,0.1,500,1,78318.0,5.718206103780458
33472,306037,32,Business,8230,4357,0,7.92,725,1,33472.0,5.793435850355749
60613,487322,45,Salary,25214,4463,0,1.18,536,1,60613.0,7.931660318171634
50317,53227,48,Salary,17276,980,0,0.1,660,0,50317.0,33.71530612244898
53447,244597,36,Salary,5283,4186,0,0.46,705,1,53447.0,11.505972288580985
80055,571114,42,Business,32589,4825,0,2.28,787,1,80055.0,9.837512953367876
70762,698687,44,Business,27305,28860,1,0.14,424,1,70762.0,1.5057865557865557
86748,421125,45,Salary,24487,4774,0,1.95,443,1,86748.0,13.041684122329283
56910,78619,58,Remittance,5025,757,0,1.53,559,1,56910.0,68.54029062087186
46081,269071,51,Salary,13276,9513,0,0.24,578,1,46081.0,3.448438978240303
55523,94520,21,Salary,5563,1060,0,2.92,798,1,55523.0,47.132075471698116
64850,495417,18,Salary,12875,7897,0,2.89,321,1,64850.0,6.581613270862353
63531,338171,41,Remittance,19866,3248,0,0.44,435,1,63531.0,13.44365763546798
38312,282459,69,Remittance,16006,2568,0,1.38,802,1,38312.0,8.68613707165109
61810,541390,20,Salary,13127,5096,0,1.5,638,1,61810.0,9.553178963893249
64565,418059,22,Other,25710,22057,0,0.73,672,1,64565.0,1.7615722899759714
110349,697204,56,Remittance,46324,7438,0,0.15,437,1,110349.0,8.607824684054853
97537,747954,43,Agriculture,8562,6707,1,1.25,643,1,68275.9,8.903220515878932
42935,365090,31,Remittance,7238,4615,0,0.98,503,1,42935.0,7.734994582881907
54252,475031,29,Salary,18589,6178,0,0.99,703,1,54252.0,5.772580123017158
30731,26001,55,Agriculture,11064,1542,0,0.42,349,1,21511.699999999997,6.775421530479894
48186,278699,47,Business,10851,2668,0,0.0,456,1,48186.0,13.993628185907047
66312,169398,54,Agriculture,21419,9958,0,2.41,655,1,46418.399999999994,2.5104840329383404
84117,729571,33,Salary,25782,15909,0,2.72,632,1,84117.0,3.6667923816707524
45418,302474,48,Agriculture,16065,2701,0,1.87,763,1,31792.6,5.822880414661236
46917,210756,67,Other,16229,1839,0,1.04,741,1,46917.0,16.687330070690592
17054,39002,36,Salary,1906,327,0,1.03,307,1,17054.0,46.32415902140673
56747,211140,40,Other,7862,3328,0,0.73,349,1,56747.0,14.689002403846153
38752,278468,27,Salary,5003,8936,0,0.18,495,1,38752.0,3.7767457475380484
49411,120633,54,Salary,21001,1865,1,4.26,828,1,49411.0,15.233243967828418
42463,58983,19,Salary,17750,2559,0,0.37,562,1,42463.0,9.65728800312622
58115,519332,32,Agriculture,21796,4889,1,0.09,791,1,40680.5,3.8626508488443445
24845,192797,58,Business,3061,2658,1,0.39,332,1,24845.0,8.19563581640331
30659,73522,19,Salary,8967,1320,0,0.61,830,1,30659.0,16.433333333333334
102585,336167,74,Business,15313,16327,0,0.72,333,1,102585.0,5.3452563238806885
34252,333432,41,Salary,7409,5979,1,0.86,745,1,34252.0,4.48954674694765
38064,275117,40,Salary,6807,2607,0,2.29,783,1,38064.0,11.989643268124281
96738,609445,48,Remittance,37409,6928,0,5.1,462,1,96738.0,8.563654734411086
118101,404197,54,Business,15760,19335,0,1.63,465,1,118101.0,5.29304370312904
36569,122202,44,Agriculture,11669,4175,0,4.81,620,1,25598.3,3.3363592814371255
52635,46081,68,Business,23372,848,1,0.36,697,1,52635.0,34.508254716981135
66831,495925,72,Other,22336,21610,0,1.66,366,1,66831.0,2.0590004627487275
94574,86078,29,Salary,10338,763,1,0.31,430,1,94574.0,110.40104849279162
40263,21989,58,Salary,16746,267,0,1.69,715,0,40263.0,88.07865168539325
55094,409360,35,Salary,17517,18406,0,0.2,744,1,55094.0,2.0415625339563186
75547,718777,74,Business,18799,7402,0,0.31,384,1,75547.0,7.66657660091867
68695,528043,32,Business,22263,10196,1,0.28,790,1,68695.0,4.553942722636328
52477,261366,34,Agriculture,21266,6798,1,0.86,777,1,36733.899999999994,2.275360400117681
57324,293352,58,Salary,14706,3988,1,1.96,778,1,57324.0,10.686559679037112
32502,150916,62,Salary,8990,11225,0,0.02,432,1,32502.0,2.094610244988864
55237,197976,25,Business,13666,3180,0,3.14,668,1,55237.0,13.072641509433963
54672,298306,49,Other,5842,2892,0,0.2,388,1,54672.0,16.884508990318118
64643,297095,37,Salary,23997,2647,1,1.52,408,1,64643.0,15.355496788817529
48893,302286,52,Salary,6198,6170,0,0.56,339,1,48893.0,6.919773095623987
69431,627111,49,Salary,15691,7706,0,0.11,571,1,69431.0,6.973786659745652
80254,798735,74,Salary,17907,21885,0,0.46,691,1,80254.0,2.8488462417180718
63109,78764,71,Salary,11588,1086,0,0.21,409,1,63109.0,47.441068139963164
67035,278496,55,Salary,15346,7062,0,0.44,402,1,67035.0,7.3193146417445485
61063,135359,56,Business,18848,1836,0,0.01,452,1,61063.0,22.992919389978212
60002,230716,69,Salary,11713,7553,0,2.13,408,1,60002.0,6.3933536343174895
45569,147233,28,Salary,6554,1295,0,2.16,758,1,45569.0,30.127413127413128
66330,143147,59,Salary,26643,1328,0,3.13,393,1,66330.0,29.884789156626507
58054,450425,62,Remittance,25498,9309,0,2.15,453,1,58054.0,3.497260715436674
101863,531189,25,Salary,25433,5540,0,6.21,468,1,101863.0,13.796028880866427
91467,844500,68,Salary,18385,37845,0,0.08,411,1,91467.0,1.9310873298982694
67717,54826,57,Salary,6607,596,0,0.07,818,0,67717.0,102.53355704697987
44739,50837,37,Business,4189,1196,0,0.18,415,1,44739.0,33.90468227424749
37752,163508,45,Remittance,8508,6136,0,0.67,568,1,37752.0,4.765971316818774
83823,105838,45,Salary,35557,1242,1,1.56,611,1,83823.0,38.86151368760064
65255,195499,70,Salary,22863,3116,0,0.11,443,1,65255.0,13.60462130937099
69603,686792,73,Salary,14563,9917,0,1.11,559,1,69603.0,5.550065544015327
25108,62396,63,Business,11002,915,0,2.55,393,1,25108.0,15.416393442622951
78549,187113,55,Remittance,18745,10158,0,3.69,566,1,78549.0,5.887379405394762
69088,411045,23,Salary,12603,23423,1,0.46,310,1,69088.0,2.411518592836101
37791,197684,70,Salary,8985,2570,1,2.65,541,1,37791.0,11.208560311284046
50570,304136,25,Agriculture,8004,3832,0,0.89,501,1,35399.0,7.149008350730689
65274,266252,27,Agriculture,26611,15575,1,0.17,493,1,45691.799999999996,1.2250914927768857
61049,510018,21,Salary,13042,9646,0,0.18,360,1,61049.0,4.976881608957081
54157,98377,72,Salary,17517,1258,0,0.53,850,1,54157.0,29.125596184419713
57930,264724,46,Salary,12973,3192,0,0.64,314,1,57930.0,14.084273182957393
54960,387618,31,Agriculture,22734,3821,0,0.28,380,1,38472.0,4.118817063595917
63051,551586,22,Business,20030,9603,0,1.07,356,1,63051.0,4.479954180985109
89430,358697,41,Business,23310,5037,0,1.26,838,1,89430.0,13.126861226920786
8667,51080,59,Agriculture,1117,686,0,2.32,475,1,6066.9,7.215597667638484
55263,63930,74,Salary,22863,1399,0,0.27,537,1,55263.0,23.15939957112223
63530,134559,49,Salary,17936,7554,0,1.91,713,1,63530.0,6.035742652899127
65920,76257,52,Salary,12226,6122,0,0.96,327,1,65920.0,8.770663181966677
52562,389740,65,Remittance,21279,3810,0,1.5,336,1,52562.0,8.210761154855643
24866,80481,69,Business,2490,2393,0,1.18,400,1,24866.0,9.35060593397409
66560,490919,33,Salary,13060,6131,0,1.39,673,1,66560.0,8.726145816343173
94547,106912,74,Salary,26343,1439,0,1.32,839,1,94547.0,47.39680333564976
29323,254940,47,Agriculture,6033,4622,0,4.3,641,1,20526.1,3.135677196019039
77277,652028,71,Agriculture,19813,6391,0,0.69,780,1,54093.899999999994,5.36393365670474
53429,71853,24,Business,9500,822,0,0.21,785,0,53429.0,53.441605839416056
58774,42652,23,Salary,7531,2950,1,0.18,452,1,58774.0,17.370508474576273
38942,40295,68,Remittance,3646,420,0,1.0,401,1,38942.0,84.03809523809524
53311,458980,56,Agriculture,7374,6875,0,0.46,388,1,37317.7,4.355447272727273
86001,234755,27,Business,37203,4745,0,0.54,737,1,86001.0,10.2840885142255
71653,409038,69,Business,20987,4520,0,0.05,668,1,71653.0,11.20929203539823
94646,430575,23,Remittance,24695,5001,0,0.88,776,1,94646.0,13.9874025194961
83548,673187,56,Remittance,18564,14781,0,2.32,579,1,83548.0,4.396454908328259
68782,353851,29,Business,23531,2994,0,0.65,838,1,68782.0,15.113894455577823
94879,498710,22,Salary,12549,6077,1,0.5,792,1,94879.0,13.547803192364654
68780,680673,63,Salary,12530,8791,0,0.44,745,1,68780.0,6.398589466499829
76560,147472,66,Agriculture,24705,7544,0,0.66,742,1,53592.0,3.829135737009544
54069,453730,24,Business,13909,10760,1,4.61,368,1,54069.0,3.7323420074349443
61331,60817,23,Salary,22382,1009,0,0.56,710,0,61331.0,38.60158572844401
46052,231994,53,Salary,18970,2896,1,0.01,821,1,46052.0,9.351519337016574
79792,711759,19,Remittance,30692,10564,0,2.0,460,1,79792.0,4.647860658841348
36434,248463,60,Remittance,5398,2632,0,0.02,749,1,36434.0,11.791793313069908
75647,530251,70,Other,8612,13139,1,1.6,492,1,75647.0,5.101986452545856
56187,168646,60,Salary,8017,1920,0,1.53,416,1,56187.0,25.088541666666668
83425,373449,31,Agriculture,30859,3727,1,2.94,702,1,58397.49999999999,7.388918701368391
75017,298757,28,Agriculture,31366,3157,0,0.19,391,1,52511.899999999994,6.698099461514094
96413,525809,56,Salary,40726,5520,1,0.72,565,1,96413.0,10.08822463768116
74615,364954,21,Salary,14202,3380,0,4.39,815,1,74615.0,17.873668639053253
28559,102970,48,Other,11164,4882,0,0.64,386,1,28559.0,3.563088897992626
58661,199569,43,Salary,16332,2286,0,0.25,385,1,58661.0,18.516622922134733
36560,105406,60,Business,14055,904,1,3.42,819,1,36560.0,24.89491150442478
49634,196945,29,Business,14041,2663,0,0.59,728,1,49634.0,13.365752910251596
90225,173633,61,Business,12088,4895,0,0.06,554,1,90225.0,15.962614913176711
72751,639117,57,Salary,7953,5332,1,1.01,523,1,72751.0,12.152663165791449
46021,286257,31,Agriculture,19981,9274,0,1.49,831,1,32214.699999999997,1.3191395298684492
39726,70354,38,Salary,9437,1458,0,0.4,698,1,39726.0,20.77434842249657
