Monthly_Income,Loan_Amount,Age,Primary_Income_Source,Essential_Expenses,Monthly_Installment,Remittance_Status,Land_Area,CIB_Score,Risk
52437,489122,29,Agriculture,18241,5462,0,1.53,780,1
85985,120056,36,Remittance,17673,3180,0,0.55,330,1
52875,525871,30,Salary,19173,8654,0,1.15,761,1
74750,584236,51,Remittance,26123,11297,0,4.4,792,1
41328,57284,26,Salary,12495,2368,0,0.6,819,1
55891,376380,53,Business,16020,7631,0,2.06,448,1
41000,33813,37,Salary,14425,679,0,1.43,576,0
53219,416001,57,Salary,23934,6083,0,2.47,323,1
76806,621562,47,Salary,22586,5312,0,2.38,360,1
25454,158398,69,Salary,9653,2524,0,1.3,609,1
68688,593476,43,Salary,24410,5358,0,3.92,413,1
64755,92593,34,Salary,25685,1497,1,0.06,423,1
48117,150186,51,Business,20843,6360,1,0.12,463,1
31079,137826,55,Salary,4707,3740,0,0.15,553,1
61443,55505,43,Salary,8677,991,0,1.3,384,0
49410,235095,49,Other,14672,4987,0,0.2,742,1
64654,195225,44,Remittance,15920,1850,0,1.1,668,1
60437,255708,35,Salary,17597,2998,0,1.38,736,1
92036,417703,35,Salary,34539,5610,1,1.26,810,1
55213,488879,69,Business,23451,7515,1,0.74,630,1
39530,121287,56,Agriculture,9268,2209,0,1.15,499,1
63586,571674,23,Salary,21978,7318,0,1.69,838,1
64400,292809,72,Agriculture,9841,11502,1,2.99,611,1
87184,315098,58,Salary,24218,10662,0,0.21,555,1
76702,404516,20,Salary,6755,9042,0,2.6,529,1
67137,300006,59,Agriculture,17884,9840,0,1.19,321,1
89266,262892,51,Business,25153,3088,0,0.15,826,1
36225,191103,70,Agriculture,12755,13022,1,0.8,751,1
47205,91678,45,Salary,15120,3129,1,0.9,685,1
41468,159375,47,Salary,8816,1456,0,1.08,421,1
52204,306699,35,Salary,4287,2561,0,1.12,811,1
32466,143739,36,Salary,3985,2223,0,3.87,397,1
72703,605410,53,Salary,31992,9243,0,1.03,433,1
55556,163271,65,Business,23404,1709,1,1.23,338,1
30584,297057,68,Business,6126,18673,0,0.23,458,1
39688,315712,61,Business,6976,5432,0,0.97,480,1
66270,642298,52,Salary,16002,28194,0,3.0,737,1
76763,649591,46,Salary,25737,11747,0,1.18,479,1
99935,184878,37,Business,21189,1563,1,0.59,826,1
118277,650686,61,Salary,12407,6967,0,0.28,466,1
68288,144415,36,Remittance,15640,1220,0,0.52,589,1
40209,332655,33,Salary,7094,3593,1,0.56,626,1
17359,105014,67,Business,3476,1352,0,0.19,756,1
65354,196243,51,Remittance,9169,2100,0,5.76,714,1
43741,408156,38,Business,14162,4907,0,0.63,778,1
51693,82412,67,Business,14208,1327,0,0.34,816,1
47758,279704,72,Business,8607,6416,0,0.6,364,1
57184,420296,36,Salary,16293,6165,0,0.31,351,1
81320,86123,47,Business,21330,2158,0,2.42,547,1
63141,390188,45,Remittance,23647,6044,0,0.72,382,1
56827,468883,57,Other,24647,16877,0,0.01,571,1
39287,44846,72,Salary,5042,614,0,0.84,625,1
26506,142239,49,Salary,10789,3695,0,1.68,452,1
50274,148625,63,Agriculture,17132,3400,0,0.0,354,1
58924,400553,51,Business,19813,6079,0,0.69,831,1
95359,155191,68,Salary,20835,5251,0,1.61,504,1
62605,588611,41,Salary,12975,5077,0,0.2,762,1
79655,716889,39,Salary,6539,11895,0,0.43,644,1
50014,113370,42,Salary,22177,2265,0,1.37,664,1
36301,129632,74,Salary,11050,8555,0,5.62,730,1
40698,247547,52,Salary,9314,2402,0,0.54,446,1
45495,333096,26,Salary,12793,4185,0,3.37,419,1
102569,482611,20,Remittance,9744,8471,0,3.05,849,1
43572,86480,47,Salary,6285,2245,1,0.84,668,1
76770,114344,63,Salary,23848,1236,0,0.85,461,1
41941,419317,45,Salary,11336,3675,0,0.15,655,1
78631,379461,49,Salary,29189,7142,0,0.26,516,1
67699,595010,63,Other,21917,22397,0,0.1,773,1
56867,289031,47,Remittance,17204,12148,0,6.09,580,1
59185,548195,69,Salary,22588,43209,0,2.02,472,1
46904,62557,54,Salary,4937,677,0,0.64,680,1
68921,109115,59,Salary,23132,925,1,0.64,713,1
50900,474974,62,Salary,17549,3984,0,1.57,505,1
35488,337178,53,Salary,6452,3487,0,4.74,714,1
34441,120193,20,Salary,5248,4072,0,1.24,429,1
63452,245817,42,Salary,10097,2090,0,0.53,431,1
91582,439436,26,Business,14041,9270,0,1.86,755,1
63200,281463,47,Salary,17304,5860,0,0.58,642,1
57627,132855,26,Salary,7502,1541,0,4.62,319,1
65717,593725,47,Salary,21288,34325,0,0.72,672,1
86120,250301,37,Salary,10238,2474,0,0.21,468,1
64388,463599,19,Salary,5792,3873,0,1.04,451,1
51781,58926,25,Salary,10260,616,0,1.63,533,0
82126,71297,46,Salary,12400,739,0,1.04,548,1
68575,460168,22,Salary,30571,8497,0,0.77,791,1
90715,337519,66,Agriculture,17427,17653,0,0.85,540,1
63665,428266,61,Remittance,10324,4388,1,1.01,463,1
35511,49474,58,Salary,5426,647,0,1.91,726,1
32637,310821,27,Salary,7125,2820,1,0.05,599,1
93019,707957,63,Agriculture,28293,28868,0,1.93,300,1
94473,833681,54,Business,34891,18545,0,0.27,648,1
56410,101339,40,Salary,12122,1989,0,0.11,576,1
52336,185349,18,Salary,16308,2160,0,0.12,616,1
89229,356851,48,Salary,23053,3676,0,1.21,401,1
37859,212129,63,Business,14886,1832,0,3.79,563,1
42105,139799,19,Salary,12233,3184,0,0.14,656,1
72867,78404,20,Salary,13645,1200,0,1.35,672,0
52108,208658,39,Salary,17734,13793,0,4.29,674,1
59898,174795,47,Salary,22966,4445,0,2.6,849,1
56731,236356,45,Salary,14308,4511,1,0.53,576,1
66751,158274,42,Business,29722,2079,0,2.41,536,1
88150,263394,32,Business,35724,4191,0,0.34,598,1
61812,399061,21,Salary,9449,7769,0,4.37,481,1
72879,305178,19,Salary,27045,3844,0,0.02,473,1
18997,71830,23,Agriculture,5744,708,0,1.0,680,1
59026,328899,57,Salary,16402,8632,0,0.35,472,1
43135,337862,62,Salary,11653,6891,0,1.24,712,1
35624,146032,42,Salary,14099,1657,0,0.03,710,1
42437,258078,22,Agriculture,12987,2688,0,0.6,825,1
53318,516061,41,Agriculture,14873,5102,0,1.8,372,1
78318,427523,74,Remittance,7681,12353,0,0.1,500,1
33472,306037,32,Business,8230,4357,0,7.92,725,1
60613,487322,45,Salary,25214,4463,0,1.18,536,1
50317,53227,48,Salary,17276,980,0,0.1,660,0
53447,244597,36,Salary,5283,4186,0,0.46,705,1
80055,571114,42,Business,32589,4825,0,2.28,787,1
70762,698687,44,Business,27305,28860,1,0.14,424,1
86748,421125,45,Salary,24487,4774,0,1.95,443,1
56910,78619,58,Remittance,5025,757,0,1.53,559,1
46081,269071,51,Salary,13276,9513,0,0.24,578,1
55523,94520,21,Salary,5563,1060,0,2.92,798,1
64850,495417,18,Salary,12875,7897,0,2.89,321,1
63531,338171,41,Remittance,19866,3248,0,0.44,435,1
38312,282459,69,Remittance,16006,2568,0,1.38,802,1
61810,541390,20,Salary,13127,5096,0,1.5,638,1
64565,418059,22,Other,25710,22057,0,0.73,672,1
110349,697204,56,Remittance,46324,7438,0,0.15,437,1
97537,747954,43,Agriculture,8562,6707,1,1.25,643,1
42935,365090,31,Remittance,7238,4615,0,0.98,503,1
54252,475031,29,Salary,18589,6178,0,0.99,703,1
30731,26001,55,Agriculture,11064,1542,0,0.42,349,1
48186,278699,47,Business,10851,2668,0,0.0,456,1
66312,169398,54,Agriculture,21419,9958,0,2.41,655,1
84117,729571,33,Salary,25782,15909,0,2.72,632,1
45418,302474,48,Agriculture,16065,2701,0,1.87,763,1
46917,210756,67,Other,16229,1839,0,1.04,741,1
17054,39002,36,Salary,1906,327,0,1.03,307,1
56747,211140,40,Other,7862,3328,0,0.73,349,1
38752,278468,27,Salary,5003,8936,0,0.18,495,1
49411,120633,54,Salary,21001,1865,1,4.26,828,1
42463,58983,19,Salary,17750,2559,0,0.37,562,1
58115,519332,32,Agriculture,21796,4889,1,0.09,791,1
24845,192797,58,Business,3061,2658,1,0.39,332,1
30659,73522,19,Salary,8967,1320,0,0.61,830,1
102585,336167,74,Business,15313,16327,0,0.72,333,1
34252,333432,41,Salary,7409,5979,1,0.86,745,1
38064,275117,40,Salary,6807,2607,0,2.29,783,1
96738,609445,48,Remittance,37409,6928,0,5.1,462,1
118101,404197,54,Business,15760,19335,0,1.63,465,1
36569,122202,44,Agriculture,11669,4175,0,4.81,620,1
52635,46081,68,Business,23372,848,1,0.36,697,1
66831,495925,72,Other,22336,21610,0,1.66,366,1
94574,86078,29,Salary,10338,763,1,0.31,430,1
40263,21989,58,Salary,16746,267,0,1.69,715,0
55094,409360,35,Salary,17517,18406,0,0.2,744,1
75547,718777,74,Business,18799,7402,0,0.31,384,1
68695,528043,32,Business,22263,10196,1,0.28,790,1
52477,261366,34,Agriculture,21266,6798,1,0.86,777,1
57324,293352,58,Salary,14706,3988,1,1.96,778,1
32502,150916,62,Salary,8990,11225,0,0.02,432,1
55237,197976,25,Business,13666,3180,0,3.14,668,1
54672,298306,49,Other,5842,2892,0,0.2,388,1
64643,297095,37,Salary,23997,2647,1,1.52,408,1
48893,302286,52,Salary,6198,6170,0,0.56,339,1
69431,627111,49,Salary,15691,7706,0,0.11,571,1
80254,798735,74,Salary,17907,21885,0,0.46,691,1
63109,78764,71,Salary,11588,1086,0,0.21,409,1
67035,278496,55,Salary,15346,7062,0,0.44,402,1
61063,135359,56,Business,18848,1836,0,0.01,452,1
60002,230716,69,Salary,11713,7553,0,2.13,408,1
45569,147233,28,Salary,6554,1295,0,2.16,758,1
66330,143147,59,Salary,26643,1328,0,3.13,393,1
58054,450425,62,Remittance,25498,9309,0,2.15,453,1
101863,531189,25,Salary,25433,5540,0,6.21,468,1
91467,844500,68,Salary,18385,37845,0,0.08,411,1
67717,54826,57,Salary,6607,596,0,0.07,818,0
44739,50837,37,Business,4189,1196,0,0.18,415,1
37752,163508,45,Remittance,8508,6136,0,0.67,568,1
83823,105838,45,Salary,35557,1242,1,1.56,611,1
65255,195499,70,Salary,22863,3116,0,0.11,443,1
69603,686792,73,Salary,14563,9917,0,1.11,559,1
25108,62396,63,Business,11002,915,0,2.55,393,1
78549,187113,55,Remittance,18745,10158,0,3.69,566,1
69088,411045,23,Salary,12603,23423,1,0.46,310,1
37791,197684,70,Salary,8985,2570,1,2.65,541,1
50570,304136,25,Agriculture,8004,3832,0,0.89,501,1
65274,266252,27,Agriculture,26611,15575,1,0.17,493,1
61049,510018,21,Salary,13042,9646,0,0.18,360,1
54157,98377,72,Salary,17517,1258,0,0.53,850,1
57930,264724,46,Salary,12973,3192,0,0.64,314,1
54960,387618,31,Agriculture,22734,3821,0,0.28,380,1
63051,551586,22,Business,20030,9603,0,1.07,356,1
89430,358697,41,Business,23310,5037,0,1.26,838,1
8667,51080,59,Agriculture,1117,686,0,2.32,475,1
55263,63930,74,Salary,22863,1399,0,0.27,537,1
63530,134559,49,Salary,17936,7554,0,1.91,713,1
65920,76257,52,Salary,12226,6122,0,0.96,327,1
52562,389740,65,Remittance,21279,3810,0,1.5,336,1
24866,80481,69,Business,2490,2393,0,1.18,400,1
66560,490919,33,Salary,13060,6131,0,1.39,673,1
94547,106912,74,Salary,26343,1439,0,1.32,839,1
29323,254940,47,Agriculture,6033,4622,0,4.3,641,1
77277,652028,71,Agriculture,19813,6391,0,0.69,780,1
53429,71853,24,Business,9500,822,0,0.21,785,0
58774,42652,23,Salary,7531,2950,1,0.18,452,1
38942,40295,68,Remittance,3646,420,0,1.0,401,1
53311,458980,56,Agriculture,7374,6875,0,0.46,388,1
86001,234755,27,Business,37203,4745,0,0.54,737,1
71653,409038,69,Business,20987,4520,0,0.05,668,1
94646,430575,23,Remittance,24695,5001,0,0.88,776,1
83548,673187,56,Remittance,18564,14781,0,2.32,579,1
68782,353851,29,Business,23531,2994,0,0.65,838,1
94879,498710,22,Salary,12549,6077,1,0.5,792,1
68780,680673,63,Salary,12530,8791,0,0.44,745,1
76560,147472,66,Agriculture,24705,7544,0,0.66,742,1
54069,453730,24,Business,13909,10760,1,4.61,368,1
61331,60817,23,Salary,22382,1009,0,0.56,710,0
46052,231994,53,Salary,18970,2896,1,0.01,821,1
79792,711759,19,Remittance,30692,10564,0,2.0,460,1
36434,248463,60,Remittance,5398,2632,0,0.02,749,1
75647,530251,70,Other,8612,13139,1,1.6,492,1
56187,168646,60,Salary,8017,1920,0,1.53,416,1
83425,373449,31,Agriculture,30859,3727,1,2.94,702,1
75017,298757,28,Agriculture,31366,3157,0,0.19,391,1
96413,525809,56,Salary,40726,5520,1,0.72,565,1
74615,364954,21,Salary,14202,3380,0,4.39,815,1
28559,102970,48,Other,11164,4882,0,0.64,386,1
58661,199569,43,Salary,16332,2286,0,0.25,385,1
36560,105406,60,Business,14055,904,1,3.42,819,1
49634,196945,29,Business,14041,2663,0,0.59,728,1
90225,173633,61,Business,12088,4895,0,0.06,554,1
72751,639117,57,Salary,7953,5332,1,1.01,523,1
46021,286257,31,Agriculture,19981,9274,0,1.49,831,1
39726,70354,38,Salary,9437,1458,0,0.4,698,1
60656,430152,21,Agriculture,12719,14065,0,0.8,800,1
35669,305071,43,Salary,7556,4907,0,1.38,350,1
46577,128394,32,Business,10257,2243,0,1.43,592,1
66240,127890,24,Agriculture,28460,1966,0,1.16,699,1
83106,48356,49,Salary,8577,431,0,0.09,319,1
72175,68485,50,Salary,8954,1076,0,0.26,582,1
14174,109726,22,Agriculture,5275,1624,0,2.42,330,1
66087,652825,28,Salary,18721,6058,0,1.34,796,1
61441,56917,22,Salary,7837,567,0,1.16,675,0
68278,519368,56,Salary,6333,13707,0,3.07,403,1
92324,109191,37,Remittance,15046,8151,0,0.81,587,0
18735,114757,22,Business,3307,1435,0,0.91,360,1
48178,370138,28,Salary,4108,3585,0,0.32,742,1
71818,280984,73,Other,11488,3918,0,0.83,408,1
28368,17131,32,Salary,10019,492,0,0.86,634,1
89519,550927,57,Salary,35495,5984,1,0.12,343,1
67367,668067,44,Salary,27779,7924,0,1.12,387,1
76932,226747,28,Salary,17253,3105,1,0.29,840,1
48581,111744,35,Salary,9628,1062,0,2.47,512,1
76275,127936,18,Business,34320,1323,0,0.58,367,1
81369,469900,60,Salary,29672,5585,1,0.95,685,1
64658,398696,37,Business,18028,4758,0,1.2,410,1
64688,519223,46,Salary,11273,6217,0,0.14,624,1
65407,500638,26,Salary,13008,7285,0,1.86,746,1
42733,383706,64,Salary,11567,6178,0,2.52,676,1
57049,465226,30,Business,16006,5249,0,0.5,435,1
56950,162253,50,Agriculture,4844,2082,0,1.05,430,1
67668,391178,67,Salary,29434,6026,0,0.85,422,1
79996,266020,58,Salary,23437,10359,0,0.6,648,1
38829,141064,52,Salary,11571,1606,0,0.94,670,1
57500,537825,68,Agriculture,9099,6577,0,1.74,587,1
89629,625432,28,Salary,32539,12774,0,0.55,519,1
45128,440387,72,Agriculture,15921,8723,0,0.51,334,1
43555,194284,49,Salary,5018,5027,1,2.88,760,1
64046,359020,41,Salary,19223,3098,0,0.13,663,1
76888,394251,32,Agriculture,24876,3758,1,0.99,651,1
60229,91502,60,Salary,23439,1260,0,1.34,357,1
86579,237977,73,Salary,13528,4297,0,2.51,458,1
77136,425216,57,Other,31219,4643,0,2.81,467,1
76836,87597,19,Salary,19266,1270,1,0.32,629,1
71082,664538,44,Salary,8225,5661,1,2.83,733,1
106553,178638,59,Salary,12688,9950,0,2.3,777,1
55897,133081,40,Salary,8563,8475,0,0.17,587,1
19930,154867,62,Agriculture,3679,2110,0,1.64,500,1
92085,130842,58,Salary,24280,3853,0,0.55,524,1
50846,460291,21,Remittance,18154,5957,0,1.17,705,1
62158,459606,49,Business,9267,4768,0,1.0,475,1
86191,99283,27,Other,38552,3689,1,2.57,529,0
27955,197713,45,Agriculture,3907,3318,0,0.48,733,1
34967,227302,39,Remittance,10552,2632,0,0.83,599,1
27974,215255,63,Business,11853,2109,1,0.47,557,1
44117,369166,67,Salary,17119,5627,0,4.84,704,1
68793,503863,44,Salary,21994,14705,0,0.03,459,1
70484,427744,48,Business,24298,5683,0,1.65,333,1
65525,233492,53,Salary,8496,3822,1,10.89,734,1
31745,226155,55,Agriculture,2653,2371,0,1.16,550,1
13798,132340,54,Salary,3320,1838,0,1.71,479,1
61087,371498,62,Agriculture,6910,8808,0,3.48,352,1
50564,344405,73,Salary,10738,3684,0,0.44,810,1
69188,321912,65,Remittance,11263,4740,0,0.14,699,1
74039,568853,25,Salary,31026,18247,1,0.32,451,1
62765,626259,45,Salary,25459,8601,0,1.07,634,1
75203,152188,44,Agriculture,28803,1330,0,0.98,555,1
64584,156477,47,Agriculture,22227,1774,0,1.85,480,1
70601,397107,48,Agriculture,9673,8970,0,0.49,471,1
45907,232889,58,Other,4494,2623,0,2.37,342,1
56408,334495,41,Salary,18160,7866,0,0.23,837,1
63936,61775,33,Agriculture,20308,875,0,0.39,810,0
76411,331672,44,Salary,16557,4816,0,0.74,779,1
52125,314746,66,Business,13286,8129,0,1.44,473,1
70423,426715,35,Salary,18379,8608,0,0.25,849,1
54683,368819,19,Salary,9229,3242,1,3.3,451,1
57649,423262,73,Business,11313,10835,1,1.66,754,1
76590,505088,29,Agriculture,17984,5127,0,1.03,355,1
20139,161259,52,Salary,6106,1918,0,0.9,471,1
34071,219255,63,Remittance,14775,3154,0,0.36,618,1
30356,170186,33,Business,8477,6338,0,0.25,833,1
13328,83418,37,Salary,4672,2447,0,1.38,446,1
46435,67857,33,Business,17580,2166,0,0.37,538,0
74989,232090,26,Salary,9149,3079,1,0.43,764,1
54302,299220,26,Salary,17467,2555,0,3.69,560,1
63956,562389,28,Business,16525,5269,0,0.51,676,1
81784,568480,44,Salary,23865,38601,0,0.19,530,1
86554,117616,48,Salary,8155,2830,0,0.21,302,1
58617,359124,18,Agriculture,24344,12391,0,0.73,455,1
87072,226954,66,Salary,37661,1934,1,0.88,611,1
61843,462162,56,Agriculture,5027,12342,0,0.29,310,1
43252,361616,22,Agriculture,6866,10717,0,2.57,427,1
48112,295303,66,Salary,7057,3735,0,1.32,825,1
30389,185918,19,Business,11216,2580,1,0.71,308,1
42237,156979,49,Salary,12726,4314,0,1.14,436,1
52840,250429,44,Business,7694,2967,0,0.29,641,1
76072,662513,46,Salary,28996,29475,0,2.0,610,1
94415,695984,72,Remittance,19901,49389,0,0.64,412,1
32356,175941,70,Salary,8106,8418,0,1.0,332,1
67857,271306,33,Business,15153,5278,0,1.74,795,1
39189,38351,51,Salary,10695,327,0,0.31,603,0
69494,129159,72,Salary,17905,1817,0,0.03,615,1
57378,133905,59,Salary,10420,1432,1,0.48,331,1
23382,94630,68,Business,5544,2025,0,2.84,415,1
78566,743970,42,Other,32690,8295,1,0.34,340,1
47900,253820,34,Salary,12745,2182,0,1.25,839,1
49322,134697,47,Salary,20669,2660,0,1.75,724,1
38605,58086,64,Salary,10946,484,0,0.36,601,1
46914,174234,70,Salary,17098,2152,0,1.85,675,1
68558,565565,57,Remittance,12932,6091,0,3.68,391,1
56215,232829,58,Remittance,20937,5934,0,0.11,844,1
66573,521853,47,Remittance,11837,6407,1,0.63,585,1
67238,546356,36,Salary,5865,8132,1,0.09,584,1
86413,134182,42,Salary,12052,1164,0,2.5,828,1
53144,333865,46,Agriculture,4677,3043,0,1.75,352,1
30463,292792,64,Salary,13112,5339,0,0.32,533,1
81344,351431,49,Business,36604,3076,0,1.22,348,1
53370,52514,63,Salary,19321,488,0,0.65,534,0
82292,762960,19,Salary,9876,10071,0,0.4,447,1
67668,601895,61,Remittance,27920,28842,0,1.49,554,1
57377,313298,46,Salary,20380,10669,0,0.37,686,1
66976,384871,74,Other,13591,18957,0,0.66,454,1
99020,248693,44,Salary,26324,10510,1,0.35,328,1
101540,841237,45,Salary,32985,7159,0,1.4,389,1
61388,321471,25,Salary,5457,9207,0,0.41,694,1
63204,51944,63,Salary,16785,600,0,0.58,618,0
81525,569749,57,Business,28614,7056,0,0.96,839,1
43087,410607,67,Salary,6448,5122,0,0.46,792,1
66661,558415,23,Business,16279,16269,0,0.68,388,1
59483,186383,30,Remittance,16479,2499,1,5.62,705,1
66278,66715,67,Salary,23340,839,0,0.82,349,1
43333,408775,20,Salary,18930,5554,0,0.59,352,1
28209,265224,46,Salary,11110,8261,0,1.21,737,1
18540,103044,41,Agriculture,5747,1144,1,2.06,520,1
37652,248579,71,Business,11143,12485,0,1.39,849,1
50826,248778,66,Salary,15409,3280,0,2.89,302,1
54136,242950,69,Business,15251,4110,1,1.83,576,1
98745,161424,34,Salary,10068,4136,0,0.43,469,1
82120,116541,51,Salary,27787,1175,0,0.57,842,1
40758,110493,57,Salary,14063,3565,0,0.16,668,1
66954,565633,73,Other,18052,5016,0,2.03,725,1
51858,97773,18,Salary,20849,909,1,0.08,459,1
54313,144127,73,Salary,17858,2829,0,2.26,792,1
63707,363884,38,Salary,13645,8094,0,0.62,763,1
72383,184124,25,Business,6318,6858,0,1.47,732,1
53215,109115,53,Salary,5422,983,0,0.24,563,1
81277,475593,62,Salary,17082,5962,0,0.33,807,1
37161,148528,25,Salary,9327,9624,1,3.76,668,1
60127,387730,20,Business,8523,5771,0,1.79,336,1
111953,1026156,69,Salary,16799,48253,1,0.27,787,1
64462,124698,71,Remittance,10648,1686,0,0.26,311,1
88664,813724,26,Salary,32698,12151,0,2.08,676,1
61830,561024,69,Salary,22591,26783,0,0.53,437,1
71616,599879,69,Other,15876,5992,0,5.86,794,1
58864,382452,74,Agriculture,8463,9483,0,0.77,702,1
56592,361702,30,Salary,6850,5132,0,4.68,745,1
44410,291886,50,Agriculture,4984,3603,0,0.5,685,1
68606,484338,74,Business,15421,4178,0,2.59,612,1
42969,28213,69,Salary,4162,432,0,0.28,775,0
73312,703933,52,Agriculture,14915,6338,0,1.75,463,1
81706,495403,29,Agriculture,35605,9844,0,3.76,591,1
67331,533526,22,Salary,18030,5100,0,0.92,464,1
54275,221669,32,Business,20862,5916,0,0.43,362,1
69079,42675,21,Salary,8830,483,0,0.91,782,0
